Issue Number,Parent Issue,Issue URL,Title,Assignees,Type,Area,Priority,Initiative,Version,Size,Estimate,Time Spent,Reporting Date,External Reference,Comments
234,,https://github.com/quarkiverse/quarkus-flow/issues/234,bug: DevUI Workflow Diagram is not working anymore,mcruzdev,,Tooling,Critical,,2026/Q1,S,0.2,0.4,2026-03-18,,
237,,https://github.com/quarkiverse/quarkus-flow/issues/237,bug: LC4J Parallel Agentics are hanging when calling twice on the same thread,ricardozanini,,Runtimes,Blocker,,2026/Q1,S,1.0,2.0,2026-03-18,,
238,,https://github.com/quarkiverse/quarkus-flow/issues/238,feat: Keep native compilation tests on a nightly GHA,mcruzdev,,CI,Normal,,2026/Q1,XS,0.2,0.2,2026-03-18,,
243,,https://github.com/quarkiverse/quarkus-flow/issues/243,feat: Add support to Smallrye Fault Tolerance Circuit Breaker,mcruzdev,,Runtimes,Major,,2026/Q1,L,1.0,1.0,2026-03-18,,
252,226,https://github.com/quarkiverse/quarkus-flow/issues/252,bug: CloudEvents extensions must be [a-z] [0-9] + improve messaging documentation,mcruzdev,,Runtimes,Major,,2026/Q1,S,0.4,0.4,2026-03-18,,
265,,https://github.com/quarkiverse/quarkus-flow/issues/265,docs: Missing Message class,ricardozanini,,Docs,Minor,,2026/Q1,S,0.4,0.4,2026-03-18,,
269,,https://github.com/quarkiverse/quarkus-flow/issues/269,Native nightly CI,mcruzdev,,CI,Minor,,2026/Q1,XS,0.2,0.2,2026-03-18,,
280,,https://github.com/quarkiverse/quarkus-flow/issues/280,Flaky test when testing FlowAgentsBuilderIT#checkConditionalRouterWorkflow,mcruzdev,,Runtimes,Major,,2026/Q1,XS,0.2,0.2,2026-03-18,,
305,112,https://github.com/quarkiverse/quarkus-flow/issues/305,bug: jpa persistence not stable under concurrent load,fjtirado,,Runtimes,Normal,,2026/Q1,M,0.3,0.3,2026-03-18,,
42,2,https://github.com/quarkiverse/quarkus-flow/issues/42,feat: Generate a form based on Workflow's input schema,mcruzdev,,Tooling,Major,,2026/Q2,M,1.0,1.0,2026-03-18,,
58,,https://github.com/quarkiverse/quarkus-flow/issues/58,bug: Flaky Ollama calls in CI: RESTEasy client times out at 10s and ignores model/timeout config (works locally),mcruzdev,,Runtimes,Major,,2026/Q1,M,1.0,1.0,2026-03-18,,
39,,https://github.com/serverlessworkflow/editor/issues/39,pm: rename workflow variables to PSYNC_ prefix with GH_ backward compatibility,dgutierr,,PM,Normal,,2026/Q1,S,0.1,0.1,2026-03-17,,
